epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.006392304785549641,0.0010000000474974513,6.259117126464844,0.0024764735717326403,7.307952404022217
1,0.014002191834151745,0.0010000000474974513,5.8307318687438965,0.013372956775128841,6.040163516998291
2,0.020272739231586456,0.0010000000474974513,5.610066890716553,0.03120356611907482,5.437432765960693
3,0.02648240514099598,0.0010000000474974513,5.435085296630859,0.0341753326356411,5.2871198654174805
4,0.032752953469753265,0.0010000000474974513,5.25849723815918,0.030212976038455963,5.262523174285889
5,0.044807013124227524,0.0010000000474974513,5.083441734313965,0.06240713223814964,4.946071147918701
6,0.053086571395397186,0.0010000000474974513,4.886219024658203,0.020307082682847977,5.645752906799316
7,0.06995008140802383,0.0010000000474974513,4.689145088195801,0.06736008077859879,4.7538161277771
8,0.0871179848909378,0.0010000000474974513,4.481722354888916,0.04110946133732796,5.270970344543457
9,0.10611226409673691,0.0010000000474974513,4.252364158630371,0.06438831239938736,4.6277756690979
10,0.13101181387901306,0.0010000000474974513,4.0425639152526855,0.18821199238300323,3.691685199737549
11,0.15280652046203613,0.0010000000474974513,3.865572690963745,0.1604754775762558,3.808924436569214
12,0.18336783349514008,0.0010000000474974513,3.6650140285491943,0.14561663568019867,3.9814612865448
13,0.20601485669612885,0.0010000000474974513,3.498863458633423,0.2882615029811859,3.0945849418640137
14,0.23487155139446259,0.0010000000474974513,3.3256726264953613,0.30163446068763733,3.0139288902282715
15,0.2559356987476349,0.0010000000474974513,3.1949095726013184,0.32590392231941223,2.822680950164795
16,0.27773043513298035,0.0010000000474974513,3.064809799194336,0.3709757328033447,2.6268887519836426
17,0.2952636182308197,0.0010000000474974513,2.9650392532348633,0.36354631185531616,2.6420586109161377
18,0.3105442523956299,0.0010000000474974513,2.8602359294891357,0.37493810057640076,2.510899066925049
19,0.32856446504592896,0.0010000000474974513,2.7719836235046387,0.41901931166648865,2.3625264167785645
20,0.3423231542110443,0.0010000000474974513,2.6842894554138184,0.39673104882240295,2.4507298469543457
21,0.3558991849422455,0.0010000000474974513,2.6072371006011963,0.4848935008049011,2.0703094005584717
22,0.37343236804008484,0.0010000000474974513,2.5287232398986816,0.4695393741130829,2.091432571411133
23,0.39169609546661377,0.0010000000474974513,2.4346795082092285,0.490837037563324,2.107980728149414
24,0.4118470847606659,0.0010000000474974513,2.3675479888916016,0.5304605960845947,1.903541088104248
25,0.41793498396873474,0.0010000000474974513,2.326725721359253,0.5264982581138611,1.8928371667861938
26,0.4308413565158844,0.0010000000474974513,2.260044574737549,0.5661218166351318,1.7229689359664917
27,0.43711188435554504,0.0010000000474974513,2.215240478515625,0.5621594786643982,1.7349953651428223
28,0.4488006830215454,0.0010000000474974513,2.163358211517334,0.570579469203949,1.7046868801116943
29,0.4604894816875458,0.0010000000474974513,2.1065592765808105,0.592372477054596,1.6221113204956055
30,0.4705953896045685,0.0010000000474974513,2.068551778793335,0.6310054659843445,1.485673427581787
